subject,layer,context_length,separate_model,cross_modality,unified_model,var_explained_prod,var_explained_comp,var_explained_intersection,weightcorr_linguistic_voxels,weightcorr_cross_voxels,weightcorr_prod_voxels,weightcorr_comp_voxels,weightcorr_bimodal_voxels,weightcorr_uni_vs_prod,weightcorr_uni_vs_comp
1E+00,1.2E+01,1.6E+01,7.14597194977623E-02,4.16024348783598E-02,8.78199584575883E-02,5.40893340010171E-02,2.78141951102806E-02,3.91966332558472E-02,1.49828120830296E-01,2.22250470802553E-01,1.59685748441289E-01,1.48399315710423E-01,1.2881197275552E-01,6.08394057188139E-01,6.07331675663984E-01
1E+00,1.5E+01,1.6E+01,7.368096741791E-02,4.40266249579527E-02,8.92865599863307E-02,5.4751586123977E-02,3.31066790876957E-02,3.88104535972906E-02,1.52725246465709E-01,2.21984889383842E-01,1.66415549609097E-01,1.49857303726222E-01,1.23830959359975E-01,6.06968735954842E-01,6.25926835648656E-01
1E+00,1.8E+01,1.6E+01,7.17532472712042E-02,4.62282839445943E-02,8.96503844372007E-02,5.35536037776004E-02,3.29975587037814E-02,4.13485958702441E-02,1.5368345165407E-01,2.19991979974111E-01,1.68030089248808E-01,1.47528495220356E-01,1.2947661730482E-01,5.94762133751162E-01,6.21293311237721E-01
1E+00,2.1E+01,1.6E+01,7.15118268566193E-02,4.54903716936312E-02,8.8311746274184E-02,5.39367454245571E-02,3.28068468552674E-02,3.9644934383288E-02,1.57004227776029E-01,2.294048517226E-01,1.69981068038746E-01,1.53649836874199E-01,1.30827042133017E-01,6.06174928309838E-01,6.27241952562561E-01
1E+00,2.4E+01,1.6E+01,7.04026834327041E-02,4.59366937001976E-02,8.82186850726166E-02,5.23823533528148E-02,3.23155478855045E-02,3.88679254277186E-02,1.55503278182729E-01,2.27067345949063E-01,1.66667611514251E-01,1.54564364119629E-01,1.30630025329054E-01,6.09300796725927E-01,6.33187664861815E-01
1E+00,2.7E+01,1.6E+01,7.00610043144254E-02,4.61911279248819E-02,8.77815306702474E-02,5.2596656609068E-02,3.08124119027529E-02,3.79528823870053E-02,1.60146331370219E-01,2.32989194464893E-01,1.68548813258547E-01,1.64409544688502E-01,1.35897280131238E-01,6.19186529844115E-01,6.23381268443237E-01
1E+00,3E+01,1.6E+01,6.74150435654483E-02,4.5723778981689E-02,8.40647525165857E-02,5.17368928955604E-02,3.29006244258684E-02,3.4064249190519E-02,1.66554757963053E-01,2.42616473069897E-01,1.82070366925259E-01,1.65174065284419E-01,1.30843832529564E-01,6.21196133967362E-01,6.38667101916875E-01
1E+00,3.3E+01,1.6E+01,6.41325945640389E-02,4.35660596983285E-02,8.18156935565029E-02,4.85953517620478E-02,2.89496394253952E-02,3.46941264648033E-02,1.6480613716359E-01,2.45747787499578E-01,1.73435694461818E-01,1.68600947394635E-01,1.42666199053437E-01,6.31075518672428E-01,6.22938502926989E-01
1E+00,3.6E+01,1.6E+01,5.40879856064056E-02,3.98966327310715E-02,7.21723001037898E-02,4.02849860842556E-02,2.64424902083309E-02,3.34724467793929E-02,1.78204658769696E-01,2.72405902599134E-01,1.93342834019005E-01,1.69276021463283E-01,1.63093126920676E-01,6.21877943703883E-01,6.38950968025765E-01
1E+00,0E+00,3.2E+01,4.74352613272854E-02,3.11414413554704E-02,6.5272878135644E-02,4.63272164212782E-02,2.14050444627443E-02,2.39195040844072E-02,1.46477507932979E-01,2.33719686200978E-01,1.58705735062278E-01,1.31941265929133E-01,1.23490616948435E-01,6.04235906391936E-01,6.70597560294311E-01
1E+00,3E+00,3.2E+01,6.17577387897285E-02,4.61668704414445E-02,7.71614008080007E-02,4.60991539004021E-02,2.71787715158334E-02,4.13630180442673E-02,1.6538075291081E-01,2.3142622690627E-01,1.63371636837048E-01,1.59153591344864E-01,1.68701742870867E-01,5.69132882949754E-01,6.58472646028496E-01
1E+00,6E+00,3.2E+01,6.67101402837226E-02,5.26221523647187E-02,7.87435942692485E-02,4.73333606038197E-02,2.65393719367059E-02,4.508826378297E-02,1.73732177904816E-01,2.29785395545854E-01,1.70950985345565E-01,1.65021826723193E-01,1.7806741002133E-01,5.67405901022158E-01,6.41120597170328E-01
1E+00,9E+00,3.2E+01,6.93909019508361E-02,5.34398815363994E-02,8.26055208614734E-02,4.7963168722418E-02,2.98290958932229E-02,4.45572096816982E-02,1.82851454837381E-01,2.37665648857898E-01,1.81982074361498E-01,1.75452949601328E-01,1.84228071109933E-01,5.75930289193639E-01,6.54192190217808E-01
1E+00,1.2E+01,3.2E+01,7.23557057659643E-02,5.36362950774016E-02,8.32516233480891E-02,4.64371536814857E-02,3.33836603717644E-02,4.74270417486968E-02,1.69233686052046E-01,2.2107522528586E-01,1.64260478846312E-01,1.63313466121733E-01,1.74245518047488E-01,5.65794523357873E-01,6.49024308224089E-01
1E+00,1.5E+01,3.2E+01,7.2166554817767E-02,5.59258251573673E-02,8.51907116617903E-02,4.37328859219165E-02,3.71942213489206E-02,4.81822022431009E-02,1.6889842623989E-01,2.19116133012173E-01,1.6797062282143E-01,1.61753214323991E-01,1.71375742300454E-01,5.63391586569792E-01,6.60284712792855E-01
1E+00,1.8E+01,3.2E+01,7.25556941303712E-02,5.55696117983313E-02,8.66941241945642E-02,4.30765235811106E-02,3.70084282212038E-02,4.85763656443162E-02,1.61584013319201E-01,2.11532210063786E-01,1.56074194971626E-01,1.58503074298021E-01,1.65203607938929E-01,5.55524670149846E-01,6.52894280048814E-01
1E+00,2.1E+01,3.2E+01,7.01637680512263E-02,5.56252612544251E-02,8.63544852138205E-02,4.19587377294092E-02,3.74736681918215E-02,4.73691007700023E-02,1.67517130587044E-01,2.20905018667878E-01,1.651119464015E-01,1.6260253454705E-01,1.69601577103913E-01,5.59723323698392E-01,6.53400218862765E-01
1E+00,2.4E+01,3.2E+01,6.91518769263929E-02,5.56618786768772E-02,8.67459949740253E-02,4.20874986232274E-02,3.70627733250073E-02,4.65362892205408E-02,1.6758779067726E-01,2.23309425039413E-01,1.61893896797915E-01,1.67921313880466E-01,1.68959076149923E-01,5.66663921855688E-01,6.46240567385668E-01
